V,C
25,5.74109E-011
24.9,5.74103E-011
24.8,5.74101E-011
24.7,5.74102E-011
24.6,5.74091E-011
24.5,5.74096E-011
24.4,5.74102E-011
24.3,5.74095E-011
24.2,5.74095E-011
24.1,5.74092E-011
24,5.74089E-011
23.9,5.74096E-011
23.8,5.74085E-011
23.7,5.74089E-011
23.6,5.74091E-011
23.5,5.74081E-011
23.4,5.74088E-011
23.3,5.7408E-011
23.2,5.7408E-011
23.1,5.7408E-011
23,5.74084E-011
22.9,5.74073E-011
22.8,5.74078E-011
22.7,5.74078E-011
22.6,5.74079E-011
22.5,5.74077E-011
22.4,5.74072E-011
22.3,5.74079E-011
22.2,5.74069E-011
22.1,5.74071E-011
22,5.74072E-011
21.9,5.74075E-011
21.8,5.74067E-011
21.7,5.74066E-011
21.6,5.74068E-011
21.5,5.74065E-011
21.4,5.74063E-011
21.3,5.74069E-011
21.2,5.74064E-011
21.1,5.74063E-011
21,5.74062E-011
20.9,5.74063E-011
20.8,5.7406E-011
20.7,5.74063E-011
20.6,5.74058E-011
20.5,5.74059E-011
20.4,5.74054E-011
20.3,5.74056E-011
20.2,5.74052E-011
20.1,5.7405E-011
20,5.74055E-011
19.9,5.74051E-011
19.8,5.74044E-011
19.7,5.74049E-011
19.6,5.74048E-011
19.5,5.74053E-011
19.4,5.7405E-011
19.3,5.74048E-011
19.2,5.7404E-011
19.1,5.7404E-011
19,5.74046E-011
18.9,5.74041E-011
18.8,5.74043E-011
18.7,5.74034E-011
18.6,5.74032E-011
18.5,5.74034E-011
18.4,5.74033E-011
18.3,5.74028E-011
18.2,5.74025E-011
18.1,5.74028E-011
18,5.74027E-011
17.9,5.74027E-011
17.8,5.74023E-011
17.7,5.74018E-011
17.6,5.74019E-011
17.5,5.7402E-011
17.4,5.74016E-011
17.3,5.74016E-011
17.2,5.74008E-011
17.1,5.74009E-011
17,5.74011E-011
16.9,5.74002E-011
16.8,5.74007E-011
16.7,5.74001E-011
16.6,5.74001E-011
16.5,5.74001E-011
16.4,5.73995E-011
16.3,5.74E-011
16.2,5.73993E-011
16.1,5.73992E-011
16,5.7399E-011
15.9,5.73988E-011
15.8,5.73983E-011
15.7,5.73982E-011
15.6,5.73975E-011
15.5,5.73976E-011
15.4,5.73972E-011
15.3,5.7397E-011
15.2,5.73972E-011
15.1,5.73968E-011
15,5.73966E-011
14.9,5.73957E-011
14.8,5.7396E-011
14.7,5.73955E-011
14.6,5.73947E-011
14.5,5.73949E-011
14.4,5.73946E-011
14.3,5.73944E-011
14.2,5.73939E-011
14.1,5.73935E-011
14,5.73935E-011
13.9,5.73929E-011
13.8,5.73932E-011
13.7,5.73921E-011
13.6,5.73916E-011
13.5,5.73917E-011
13.4,5.73914E-011
13.3,5.73909E-011
13.2,5.73908E-011
13.1,5.739E-011
13,5.73899E-011
12.9,5.73897E-011
12.8,5.73888E-011
12.7,5.73886E-011
12.6,5.7388E-011
12.5,5.73875E-011
12.4,5.73869E-011
12.3,5.73867E-011
12.2,5.73856E-011
12.1,5.73857E-011
12,5.7385E-011
11.9,5.73849E-011
11.8,5.73843E-011
11.7,5.73831E-011
11.6,5.73826E-011
11.5,5.73822E-011
11.4,5.73817E-011
11.3,5.73813E-011
11.2,5.73808E-011
11.1,5.73805E-011
11,5.73796E-011
10.9,5.73787E-011
10.8,5.73778E-011
10.7,5.73768E-011
10.6,5.7377E-011
10.5,5.73758E-011
10.4,5.7375E-011
10.3,5.73744E-011
10.2,5.73737E-011
10.1,5.73731E-011
10,5.73721E-011
9.9,5.7371E-011
9.8,5.73701E-011
9.7,5.73698E-011
9.6,5.73686E-011
9.5,5.73676E-011
9.4,5.73666E-011
9.3,5.73656E-011
9.2,5.73642E-011
9.1,5.73639E-011
9,5.73626E-011
8.9,5.73616E-011
8.8,5.73604E-011
8.7,5.73593E-011
8.6,5.73575E-011
8.5,5.73569E-011
8.4,5.73552E-011
8.3,5.7354E-011
8.2,5.73525E-011
8.1,5.73515E-011
8,5.73497E-011
7.9,5.73481E-011
7.8,5.73467E-011
7.7,5.73451E-011
7.6,5.7344E-011
7.5,5.73423E-011
7.4,5.73406E-011
7.3,5.73383E-011
7.2,5.73367E-011
7.1,5.73347E-011
7,5.7333E-011
6.9,5.73305E-011
6.8,5.7329E-011
6.7,5.73265E-011
6.6,5.73242E-011
6.5,5.73218E-011
6.4,5.73192E-011
6.3,5.73172E-011
6.2,5.7314E-011
6.1,5.73113E-011
6,5.73087E-011
5.9,5.73056E-011
5.8,5.73027E-011
5.7,5.72998E-011
5.6,5.72958E-011
5.5,5.72927E-011
5.4,5.72896E-011
5.3,5.72856E-011
5.2,5.72817E-011
5.1,5.72774E-011
5,5.72723E-011
4.9,5.72681E-011
4.8,5.72632E-011
4.7,5.72583E-011
4.6,5.7253E-011
4.5,5.72477E-011
4.4,5.72418E-011
4.3,5.72357E-011
4.2,5.72295E-011
4.1,5.72228E-011
4,5.72157E-011
3.9,5.72086E-011
3.8,5.72008E-011
3.7,5.71922E-011
3.6,5.71839E-011
3.5,5.71741E-011
3.4,5.71642E-011
3.3,5.71533E-011
3.2,5.7142E-011
3.1,5.71297E-011
3,5.71167E-011
2.9,5.71035E-011
2.8,5.70881E-011
2.7,5.70718E-011
2.6,5.70545E-011
2.5,5.70355E-011
2.4,5.70152E-011
2.3,5.6993E-011
2.2,5.69695E-011
2.1,5.69432E-011
2,5.69153E-011
1.9,5.68841E-011
1.8,5.68496E-011
1.7,5.68134E-011
1.6,5.67719E-011
1.5,5.67277E-011
1.4,5.66776E-011
1.3,5.66237E-011
1.2,5.65634E-011
1.1,5.64965E-011
1,5.64246E-011
0.9,5.63455E-011
0.8,5.62586E-011
0.7,5.61648E-011
0.6,5.60636E-011
0.5,5.5955E-011
0.4,5.58402E-011
0.3,5.57214E-011
0.2,5.55993E-011
0.1,5.5475E-011
0,5.53524E-011
-0.1,5.52338E-011
-0.2,5.51202E-011
-0.3,5.50133E-011
-0.4,5.4916E-011
-0.5,5.48284E-011
-0.6,5.47498E-011
-0.7,5.46809E-011
-0.8,5.46205E-011
-0.9,5.45678E-011
-1,5.45213E-011
-1.1,5.44818E-011
-1.2,5.44477E-011
-1.3,5.44173E-011
-1.4,5.43901E-011
-1.5,5.43674E-011
-1.6,5.43469E-011
-1.7,5.43293E-011
-1.8,5.43143E-011
-1.9,5.43016E-011
-2,5.42905E-011
-2.1,5.42807E-011
-2.2,5.42722E-011
-2.3,5.42655E-011
-2.4,5.42593E-011
-2.5,5.42541E-011
-2.6,5.42496E-011
-2.7,5.42463E-011
-2.8,5.4243E-011
-2.9,5.42407E-011
-3,5.42382E-011
-3.1,5.42366E-011
-3.2,5.42354E-011
-3.3,5.42338E-011
-3.4,5.42329E-011
-3.5,5.4232E-011
-3.6,5.42317E-011
-3.7,5.42312E-011
-3.8,5.42304E-011
-3.9,5.42299E-011
-4,5.42296E-011
-4.1,5.42293E-011
-4.2,5.42292E-011
-4.3,5.42295E-011
-4.4,5.42286E-011
-4.5,5.42285E-011
-4.6,5.42281E-011
-4.7,5.4228E-011
-4.8,5.42283E-011
-4.9,5.42278E-011
-5,5.42278E-011
