V,C
-15,5.33921E-11
-14.9,5.33917E-11
-14.8,5.33918E-11
-14.7,5.3392E-11
-14.6,5.33918E-11
-14.5,5.33918E-11
-14.4,5.33914E-11
-14.3,5.33922E-11
-14.2,5.33918E-11
-14.1,5.33919E-11
-14,5.33919E-11
-13.9,5.33917E-11
-13.8,5.33918E-11
-13.7,5.33914E-11
-13.6,5.3392E-11
-13.5,5.33915E-11
-13.4,5.33914E-11
-13.3,5.33919E-11
-13.2,5.33916E-11
-13.1,5.33915E-11
-13,5.33917E-11
-12.9,5.33915E-11
-12.8,5.3392E-11
-12.7,5.33915E-11
-12.6,5.33915E-11
-12.5,5.33917E-11
-12.4,5.3392E-11
-12.3,5.33916E-11
-12.2,5.33922E-11
-12.1,5.33918E-11
-12,5.33917E-11
-11.9,5.33916E-11
-11.8,5.33918E-11
-11.7,5.33919E-11
-11.6,5.33916E-11
-11.5,5.33914E-11
-11.4,5.33915E-11
-11.3,5.33918E-11
-11.2,5.33918E-11
-11.1,5.33915E-11
-11,5.3392E-11
-10.9,5.33918E-11
-10.8,5.33917E-11
-10.7,5.33918E-11
-10.6,5.33914E-11
-10.5,5.33914E-11
-10.4,5.33918E-11
-10.3,5.33919E-11
-10.2,5.33914E-11
-10.1,5.33917E-11
-10,5.33922E-11
-9.9,5.33919E-11
-9.8,5.33918E-11
-9.7,5.3392E-11
-9.6,5.33918E-11
-9.5,5.33923E-11
-9.4,5.33918E-11
-9.3,5.33915E-11
-9.2,5.33918E-11
-9.1,5.33924E-11
-9,5.33918E-11
-8.9,5.33915E-11
-8.8,5.33916E-11
-8.7,5.33923E-11
-8.6,5.33919E-11
-8.5,5.33922E-11
-8.4,5.33918E-11
-8.3,5.33918E-11
-8.2,5.33917E-11
-8.1,5.33924E-11
-8,5.33919E-11
-7.9,5.33922E-11
-7.8,5.33923E-11
-7.7,5.33922E-11
-7.6,5.33917E-11
-7.5,5.33922E-11
-7.4,5.33924E-11
-7.3,5.33919E-11
-7.2,5.33923E-11
-7.1,5.33922E-11
-7,5.33928E-11
-6.9,5.33924E-11
-6.8,5.33924E-11
-6.7,5.33925E-11
-6.6,5.33925E-11
-6.5,5.33929E-11
-6.4,5.33926E-11
-6.3,5.33931E-11
-6.2,5.33922E-11
-6.1,5.33931E-11
-6,5.33927E-11
-5.9,5.33925E-11
-5.8,5.33934E-11
-5.7,5.3393E-11
-5.6,5.33928E-11
-5.5,5.33934E-11
-5.4,5.33932E-11
-5.3,5.33933E-11
-5.2,5.33937E-11
-5.1,5.33937E-11
-5,5.33931E-11
-4.9,5.33935E-11
-4.8,5.33931E-11
-4.7,5.33937E-11
-4.6,5.33933E-11
-4.5,5.33935E-11
-4.4,5.33937E-11
-4.3,5.33941E-11
-4.2,5.33946E-11
-4.1,5.33943E-11
-4,5.33946E-11
-3.9,5.33949E-11
-3.8,5.33951E-11
-3.7,5.33958E-11
-3.6,5.33961E-11
-3.5,5.33966E-11
-3.4,5.33973E-11
-3.3,5.33977E-11
-3.2,5.3399E-11
-3.1,5.34003E-11
-3,5.34016E-11
-2.9,5.34034E-11
-2.8,5.34047E-11
-2.7,5.34073E-11
-2.6,5.34107E-11
-2.5,5.34142E-11
-2.4,5.34186E-11
-2.3,5.34237E-11
-2.2,5.34309E-11
-2.1,5.34386E-11
-2,5.34476E-11
-1.9,5.34588E-11
-1.8,5.34717E-11
-1.7,5.3487E-11
-1.6,5.35048E-11
-1.5,5.3526E-11
-1.4,5.35508E-11
-1.3,5.35789E-11
-1.2,5.36124E-11
-1.1,5.36512E-11
-1,5.36955E-11
-0.9,5.37465E-11
-0.8,5.38046E-11
-0.7,5.38711E-11
-0.6,5.39457E-11
-0.5,5.40301E-11
-0.4,5.41224E-11
-0.3,5.42221E-11
-0.2,5.43299E-11
-0.1,5.44427E-11
0,5.45591E-11
0.1,5.46773E-11
0.2,5.47948E-11
0.3,5.49105E-11
0.4,5.5021E-11
