V,C
-15,4.4765E-011
-14.9,4.47654E-011
-14.8,4.47653E-011
-14.7,4.47651E-011
-14.6,4.47648E-011
-14.5,4.47659E-011
-14.4,4.47654E-011
-14.3,4.47658E-011
-14.2,4.4766E-011
-14.1,4.47664E-011
-14,4.47664E-011
-13.9,4.47662E-011
-13.8,4.47661E-011
-13.7,4.47665E-011
-13.6,4.47655E-011
-13.5,4.4766E-011
-13.4,4.47662E-011
-13.3,4.47667E-011
-13.2,4.47664E-011
-13.1,4.47666E-011
-13,4.47668E-011
-12.9,4.47672E-011
-12.8,4.47669E-011
-12.7,4.47678E-011
-12.6,4.47676E-011
-12.5,4.47666E-011
-12.4,4.47679E-011
-12.3,4.47677E-011
-12.2,4.4768E-011
-12.1,4.47672E-011
-12,4.47677E-011
-11.9,4.47675E-011
-11.8,4.47683E-011
-11.7,4.47682E-011
-11.6,4.47683E-011
-11.5,4.47684E-011
-11.4,4.47688E-011
-11.3,4.47691E-011
-11.2,4.47689E-011
-11.1,4.47691E-011
-11,4.47688E-011
-10.9,4.47696E-011
-10.8,4.47697E-011
-10.7,4.47703E-011
-10.6,4.47707E-011
-10.5,4.47702E-011
-10.4,4.47708E-011
-10.3,4.47709E-011
-10.2,4.4771E-011
-10.1,4.47714E-011
-10,4.47712E-011
-9.9,4.47722E-011
-9.8,4.47723E-011
-9.7,4.4772E-011
-9.6,4.47723E-011
-9.5,4.4772E-011
-9.4,4.47722E-011
-9.3,4.47722E-011
-9.2,4.47733E-011
-9.1,4.47732E-011
-9,4.47733E-011
-8.9,4.47738E-011
-8.8,4.47741E-011
-8.7,4.47739E-011
-8.6,4.47746E-011
-8.5,4.47752E-011
-8.4,4.47748E-011
-8.3,4.47761E-011
-8.2,4.47762E-011
-8.1,4.47752E-011
-8,4.47761E-011
-7.9,4.47766E-011
-7.8,4.47771E-011
-7.7,4.47782E-011
-7.6,4.47773E-011
-7.5,4.47781E-011
-7.4,4.47784E-011
-7.3,4.4779E-011
-7.2,4.47786E-011
-7.1,4.478E-011
-7,4.47794E-011
-6.9,4.47802E-011
-6.8,4.47808E-011
-6.7,4.47813E-011
-6.6,4.47816E-011
-6.5,4.47818E-011
-6.4,4.47827E-011
-6.3,4.47834E-011
-6.2,4.47841E-011
-6.1,4.47845E-011
-6,4.47848E-011
-5.9,4.47853E-011
-5.8,4.47861E-011
-5.7,4.47867E-011
-5.6,4.47875E-011
-5.5,4.47883E-011
-5.4,4.47888E-011
-5.3,4.47905E-011
-5.2,4.479E-011
-5.1,4.47915E-011
-5,4.47917E-011
-4.9,4.47925E-011
-4.8,4.47937E-011
-4.7,4.47946E-011
-4.6,4.47961E-011
-4.5,4.47972E-011
-4.4,4.47986E-011
-4.3,4.48004E-011
-4.2,4.48006E-011
-4.1,4.48028E-011
-4,4.4805E-011
-3.9,4.4807E-011
-3.8,4.48088E-011
-3.7,4.48108E-011
-3.6,4.48139E-011
-3.5,4.48164E-011
-3.4,4.48201E-011
-3.3,4.48238E-011
-3.2,4.48296E-011
-3.1,4.48339E-011
-3,4.48401E-011
-2.9,4.48468E-011
-2.8,4.48558E-011
-2.7,4.48659E-011
-2.6,4.48787E-011
-2.5,4.48929E-011
-2.4,4.49111E-011
-2.3,4.49329E-011
-2.2,4.49594E-011
-2.1,4.49913E-011
-2,4.503E-011
-1.9,4.50757E-011
-1.8,4.51304E-011
-1.7,4.5193E-011
-1.6,4.52649E-011
-1.5,4.53446E-011
-1.4,4.54311E-011
-1.3,4.55218E-011
-1.2,4.56154E-011
-1.1,4.57108E-011
-1,4.5806E-011
-0.9,4.58982E-011
-0.8,4.59875E-011
-0.7,4.60728E-011
-0.6,4.61519E-011
-0.5,4.62275E-011
-0.4,4.62963E-011
-0.3,4.63604E-011
-0.2,4.64191E-011
-0.1,4.64732E-011
0,4.65235E-011
0.1,4.65691E-011
0.2,4.66106E-011
0.3,4.66492E-011
0.4,4.66849E-011
0.5,4.67173E-011
0.6,4.67481E-011
0.7,4.67755E-011
0.8,4.68009E-011
0.9,4.68253E-011
1,4.68467E-011
1.1,4.68676E-011
1.2,4.68863E-011
1.3,4.6904E-011
1.4,4.69204E-011
1.5,4.69369E-011
1.6,4.69503E-011
1.7,4.69645E-011
1.8,4.69764E-011
1.9,4.6989E-011
2,4.70002E-011
2.1,4.70112E-011
2.2,4.70212E-011
2.3,4.70303E-011
2.4,4.70393E-011
2.5,4.70476E-011
2.6,4.70563E-011
2.7,4.7064E-011
2.8,4.70705E-011
2.9,4.70783E-011
3,4.70849E-011
3.1,4.70912E-011
3.2,4.70971E-011
3.3,4.71029E-011
3.4,4.7108E-011
3.5,4.7114E-011
3.6,4.71188E-011
3.7,4.71241E-011
3.8,4.71281E-011
3.9,4.71327E-011
4,4.71378E-011
4.1,4.71414E-011
4.2,4.71451E-011
4.3,4.71489E-011
4.4,4.71534E-011
4.5,4.71565E-011
4.6,4.716E-011
4.7,4.71628E-011
4.8,4.71662E-011
4.9,4.71689E-011
5,4.71716E-011
5.1,4.71757E-011
5.2,4.71783E-011
5.3,4.71805E-011
5.4,4.71838E-011
5.5,4.71863E-011
5.6,4.71887E-011
5.7,4.7191E-011
5.8,4.71928E-011
5.9,4.71951E-011
6,4.71975E-011
6.1,4.71994E-011
6.2,4.72016E-011
6.3,4.7203E-011
6.4,4.72046E-011
6.5,4.72064E-011
6.6,4.72087E-011
6.7,4.7211E-011
6.8,4.72114E-011
6.9,4.72139E-011
7,4.72151E-011
7.1,4.72173E-011
7.2,4.72182E-011
7.3,4.7219E-011
7.4,4.72211E-011
7.5,4.72218E-011
7.6,4.72239E-011
7.7,4.72255E-011
7.8,4.72272E-011
7.9,4.72276E-011
8,4.72291E-011
8.1,4.72294E-011
8.2,4.72317E-011
8.3,4.72325E-011
8.4,4.7234E-011
8.5,4.72344E-011
8.6,4.7235E-011
8.7,4.72372E-011
8.8,4.72377E-011
8.9,4.72385E-011
9,4.72397E-011
9.1,4.724E-011
9.2,4.72419E-011
9.3,4.72424E-011
9.4,4.72432E-011
9.5,4.72438E-011
9.6,4.72451E-011
9.7,4.72457E-011
9.8,4.72467E-011
9.9,4.72466E-011
10,4.72489E-011
10.1,4.72493E-011
10.2,4.72496E-011
10.3,4.72496E-011
10.4,4.72508E-011
10.5,4.72514E-011
10.6,4.72519E-011
10.7,4.72527E-011
10.8,4.72536E-011
10.9,4.72544E-011
11,4.72548E-011
11.1,4.7256E-011
11.2,4.72558E-011
11.3,4.72566E-011
11.4,4.7257E-011
11.5,4.72574E-011
11.6,4.72577E-011
11.7,4.72584E-011
11.8,4.72594E-011
11.9,4.72598E-011
12,4.72607E-011
12.1,4.72608E-011
12.2,4.72611E-011
12.3,4.72619E-011
12.4,4.72622E-011
12.5,4.72629E-011
12.6,4.72632E-011
12.7,4.72629E-011
12.8,4.72639E-011
12.9,4.72642E-011
13,4.72647E-011
