SIM,SPESSORE SC [m],SPESSORE INS [m],EPSILON_R SC [~],EPSILON_R INS [~],T [K],Wf [V],Ea [V],N0 [m^-3],Sigma [K_B * 300K],N0(2) [m^-3],Sigma(2) [K_B * 300K],SHIFT(2) [V],N0(3) [m^-3],Sigma(3) [K_B * 300K],SHIFT(3) [V],N0(4) [m^-3],Sigma(4) [K_B * 300K],SHIFT(4) [V],Exponential N0 [m^-3],Exponential lambda [K_B * 300K],Semiconductor area [m^2],C_sb [F],nodes,steps,V_min [V],V_max [V]
01,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,1.0,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
02,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,1.1,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
03,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,1.2,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
04,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,1.3,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
05,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,1.4,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
06,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,1.5,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
07,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,1.6,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
08,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,1.7,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
09,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,1.8,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
10,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,1.9,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
11,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,2.0,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
12,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,2.1,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
13,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,2.2,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
14,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,2.3,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
15,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,2.4,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
16,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,2.5,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
17,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,2.6,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
18,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,2.7,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
19,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,2.8,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
20,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,2.9,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
21,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,3.0,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
22,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,3.1,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
23,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,3.2,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
24,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,3.3,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
25,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,3.4,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
26,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,3.5,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
27,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,3.6,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
28,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,3.7,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
29,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,3.8,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
30,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,3.9,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
31,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,4.0,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
32,3.44218678647717E-08,0.000000441,2.9,2.82222,295,5,4.3,1E+027,4.1,0,5,0.1,0,0,0,0,0,0,0,0,0.00000081,1.16015537759922E-11,801,5000,-25,35
